course_code,course_name,credits,grade,semester
BUS251,Business Communication,3,B+,Spring2020
INB372,International Business,3,B+,Spring2020
ECO101,Intro to Microeconomics,3,A,Spring2020
MKT202,Introduction to Marketing,3,A,Spring2020
MIS107,Introduction to Computers,3,A,Spring2020
MGT368,Entrepreneurship,3,A,Summer2020
MIS207,Management Information Systems,3,A-,Summer2020
LAW200,Legal Environment of Business,3,A-,Summer2020
ECO104,Intro to Macroeconomics,3,A,Summer2020
MGT212,Principles of Management,3,C+,Summer2020
BEN205,Bengali Literature,3,A-,Summer2020
ACT201,Intro to Financial Accounting,3,C+,Fall2020
PHI401,Ethics / Philosophy,3,A-,Fall2020
POL104,Political Science,3,A-,Fall2020
SOC101,Intro to Sociology,3,B,Fall2020
CHE101,Chemistry I,3,B,Spring2021
CHE101L,Chemistry I Lab,1,B,Spring2021
PHY107,Physics I,3,A,Spring2021
PHY107L,Physics I Lab,1,A,Spring2021
PBH101,Public Health,3,A,Spring2021
PBH101L,Public Health Lab,1,B+,Spring2021
ENV107,Environmental Science,3,A-,Spring2021
PSY101,Intro to Psychology,3,A-,Spring2021
HRM360,Planning and Staffing,3,A,Summer2021
HRM340,Training and Development,3,A-,Summer2021
HIS101,Bangladesh History,3,A-,Summer2021
HIS205,Modern History,3,A-,Summer2021
ACT202,Intro to Managerial Accounting,3,A,Summer2021
HRM380,Compensation Theory and Practice,3,A,Summer2021
HRM470,Negotiations,3,B,Fall2021
HRM450,Industrial Relations,3,A-,Fall2021
HRM370,Managerial Skill Development,3,A-,Fall2021
HRM499,Special Topics in HRM,3,B,Fall2021
