course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,B-,Summer2020
ECO101,Intro to Microeconomics,3,C-,Summer2020
ENG103,Intermediate Composition,3,C,Summer2020
LAW200,Legal Environment of Business,3,A,Fall2020
BUS251,Business Communication,3,B+,Fall2020
ACT201,Intro to Financial Accounting,3,B,Fall2020
INB372,International Business,3,B,Spring2021
MKT202,Introduction to Marketing,3,B,Spring2021
MIS207,Management Information Systems,3,B+,Spring2021
ACT202,Intro to Managerial Accounting,3,A-,Summer2021
PHI401,Ethics / Philosophy,3,B+,Summer2021
MGT368,Entrepreneurship,3,A-,Summer2021
ENG105,Advanced Composition,3,C+,Summer2021
POL104,Political Science,3,A-,Fall2021
CHN101,Chinese Language,3,C+,Fall2021
BEN205,Bengali Literature,3,B+,Fall2021
ECO104,Intro to Macroeconomics,3,A-,Fall2021
POL101,Intro to Political Science,3,B+,Fall2021
ANT101,Anthropology,3,B,Spring2022
MGT212,Principles of Management,3,C+,Spring2022
GEO205,Geography,3,B+,Spring2022
BIO103,Biology I,3,B+,Spring2022
BIO103L,Biology I Lab,1,B-,Spring2022
HIS102,World Civilization,3,B,Summer2022
HRM380,Compensation Theory and Practice,3,B-,Summer2022
HIS205,Modern History,3,A,Summer2022
HIS101,Bangladesh History,3,A,Summer2022
HRM340,Training and Development,3,C+,Summer2022
HRM370,Managerial Skill Development,3,A-,Fall2022
HRM499,Special Topics in HRM,3,B,Fall2022
HRM360,Planning and Staffing,3,C,Fall2022
HRM450,Industrial Relations,3,B,Spring2023
HRM470,Negotiations,3,B-,Spring2023
