course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,B,Fall2019
MKT202,Introduction to Marketing,3,B-,Fall2019
MIS107,Introduction to Computers,3,A,Fall2019
ECO101,Intro to Microeconomics,3,A,Fall2019
ENG103,Intermediate Composition,3,A-,Spring2020
BUS251,Business Communication,3,B+,Spring2020
ACT202,Intro to Managerial Accounting,3,B+,Spring2020
LAW200,Legal Environment of Business,3,A-,Spring2020
PHI401,Ethics / Philosophy,3,A,Summer2020
MGT368,Entrepreneurship,3,B-,Summer2020
MIS207,Management Information Systems,3,B,Summer2020
ENG105,Advanced Composition,3,A-,Summer2020
ECO104,Intro to Macroeconomics,3,B-,Summer2020
CHN101,Chinese Language,3,B,Fall2020
ENG115,English Literature,3,A-,Fall2020
POL104,Political Science,3,B,Fall2020
INB372,International Business,3,A-,Fall2020
MGT212,Principles of Management,3,A,Fall2020
ENV107,Environmental Science,3,B+,Spring2021
ANT101,Anthropology,3,A,Spring2021
GEO205,Geography,3,A-,Spring2021
SOC101,Intro to Sociology,3,B,Spring2021
PSY101,Intro to Psychology,3,B,Spring2021
HIS205,Modern History,3,B,Summer2021
HIS101,Bangladesh History,3,A,Summer2021
HIS102,World Civilization,3,A,Summer2021
MIS310,Systems Analysis,3,A,Summer2021
MIS210,Computer Programming,3,A-,Fall2021
MGT490,Project Management,3,B+,Fall2021
MIS330,Database Systems,3,A,Fall2021
MIS499,Special Topics in MIS,3,B,Fall2021
MIS410,Systems Design,3,B+,Fall2021
MIS450,IS Security,3,B,Fall2021
MIS470,IT Project Management,3,A,Spring2022
MIS320,IT for Managers,3,B-,Spring2022
BUS498,Internship,4,B,Summer2024
